spark_executor_cores,spark_driver_memory,spark_default_parallelism,spark_memory_fraction,spark_memory_storageFraction,spark_storage_replication_proactive,spark_broadcast_compress,spark_io_compression_codec,spark_rdd_compress,spark_reducer_maxSizeInFlight,spark_shuffle_spill_compress,spark_speculation,spark_broadcast_blockSize,spark_shuffle_compress,spark_executor_memory,spark_shuffle_file_buffer,spark_storage_memoryMapThreshold,spark_locality_wait,spark_task_maxFailures,spark_shuffle_sort_bypassMergeThreshold,spark_kryoserializer_buffer,spark_memory_offHeap_size,spark_scheduler_revive_interval,jvm_gc_collect,jvm_gc_timeratio,jvm_max_gc_pause,jvm_max_tenuringThreshold,jvm_new_ratio,jvm_par_gc_thread,jvm_survivor_ratio,Executor_Deserialize_Time,Executor_Deserialize_CPU_Time,Executor_Run_Time,Executor_CPU_Time,Result_Size,JVM_GC_Time,Result_Serialization_Time,Memory_Bytes_Spilled,Disk_Bytes_Spilled,Local_Blocks_Fetched,Fetch_Wait_Time,Remote_Bytes_Read,Local_Bytes_Read,Total_Records_Read,migrations,context-switches,cache-misses,cache-references,branch-misses,branch-load-misses,major-faults,minor-faults,page-faults,cycles,raw_syscalls_sys_enter,raw_syscalls_sys_exit,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,LLC-load-misses,LLC-store-misses,LLC-stores,node-load-misses,node-store-misses,mem-loads,mem-stores,branch-loads,run_times
3,1,32,0.75,0.5,0,1,2,0,48,1,0,4,1,1,32,2,3,4,200,64,10,1,1,99,200,3,2,3,8,1768.355,24298199.595,2529.625,146216289.055,1558.765,121.775,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17211.0,412638.0,884740168.0,7916590110.0,845894660.0,866264269.0,220.0,353417.0,353709.0,110297470718.0,2458920.0,2459080.0,114897509317.0,2502358881.0,35361039894.0,16150351741.0,64826459.0,86992474.0,295667143.0,1441.0,0.0,2883.0,14835568829.0,24777443557.0,103.17
1,1,8,0.3,0.3,0,0,0,0,2,0,0,2,0,1,2,2,2,3,100,2,10,1,0,19,100,1,1,1,1,6417.225,67959257.7,1847.73,208989968.995,1597.135,124.52,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23440.0,441087.0,1026876563.0,7914748123.0,861102789.0,890025341.0,405.0,329202.0,329703.0,125116915682.0,2688178.0,2688335.0,120036708792.0,2908995522.0,39201284807.0,17380604436.0,102085857.0,126103712.0,339908400.0,0.0,0.0,1325.0,16565153974.0,26395439410.0,147.473
8,6,128,0.9,0.9,1,1,2,1,128,1,1,128,1,6,128,200,10,10,1000,128,1024,50,3,99,500,15,9,8,9,1527.194,16468556.219,3096.731,157044252.264,1528.204,37.448,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20789.0,295408.0,969379647.0,9262207716.0,966611837.0,982711732.0,21447.0,671201.0,692732.0,182474212111.0,2050992.0,2051155.0,191947354633.0,3737007643.0,53908385095.0,22937183651.0,73154967.0,123192297.0,495723136.0,19745.0,8955.0,14463.0,22703360969.0,36158581827.0,649.048
4,4,68,0.6,0.6,1,1,1,1,65,1,1,65,1,4,65,101,6,6,550,65,517,26,2,59,300,8,5,4,5,608.82,11906468.155,959.075,128939902.46,1531.94,58.585,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7731.0,317067.0,770206773.0,6889613932.0,829675822.0,828138012.0,72.0,313286.0,313408.0,110145217416.0,1970131.0,1970292.0,126777339104.0,2476620170.0,38363482524.0,15892799440.0,61604605.0,81518744.0,266645279.0,750.0,298.0,981.0,15066843338.0,24232037005.0,73.983
3,5,12,0.69,0.69,0,1,2,1,86,1,0,98,0,2,84,64,9,6,582,48,247,29,3,31,201,8,6,5,5,1828.66,25321120.915,1945.705,162857268.445,1561.165,18.82,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12731.0,143468.0,821179174.0,6179428965.0,792918139.0,806119834.0,142.0,638031.0,638230.0,116876657959.0,1995693.0,1995857.0,122051734198.0,2547037638.0,38526880620.0,15960985136.0,79981037.0,115170344.0,299092420.0,6772.0,3030.0,16446.0,15374084528.0,23609551011.0,102.995
3,6,30,0.39,0.86,1,0,2,0,30,1,0,56,1,3,117,52,8,3,924,97,150,32,1,43,376,11,8,7,6,1793.14,21327462.345,1356.805,152630487.155,1547.73,17.89,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9167.0,192761.0,762611659.0,6415702744.0,786571624.0,776691706.0,79.0,322985.0,323124.0,113318992494.0,1974733.0,1974897.0,126062674911.0,2274602506.0,37278859459.0,14905442467.0,68356224.0,76777244.0,269040508.0,0.0,0.0,1017.0,15196741204.0,22284039197.0,77.901
7,1,112,0.32,0.35,0,0,0,1,85,0,1,78,1,3,16,196,10,7,896,94,686,29,1,60,485,9,4,8,3,1056.84,13451849.825,1478.3,141075226.77,1539.32,22.21,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9235.0,137806.0,830058132.0,5569220819.0,768679075.0,765612905.0,49.0,325169.0,325274.0,105420358650.0,1971033.0,1971196.0,111744956683.0,2264178427.0,33984086140.0,14836696576.0,58292745.0,87877356.0,280915698.0,0.0,145.0,1310.0,13939682817.0,22579755598.0,77.075
1,2,60,0.47,0.47,0,0,2,1,38,1,1,24,1,5,117,127,3,5,858,89,748,19,3,88,237,8,4,6,7,199.435,13797646.265,854.02,136604415.625,1517.5,2.93,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9707.0,151580.0,886067110.0,6297637528.0,851556134.0,850579904.0,240.0,501554.0,501849.0,118472734832.0,2010138.0,2010302.0,127213294479.0,2438954202.0,38224470691.0,15397297814.0,70044646.0,106088281.0,292664754.0,8573.0,4317.0,8383.0,15743310092.0,23796082296.0,123.446
7,6,122,0.55,0.53,0,0,1,1,78,0,1,34,0,4,12,17,9,4,520,102,601,23,2,83,422,12,5,3,8,1050.785,14052265.47,1475.15,142151964.995,1537.135,112.605,0.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8614.0,186911.0,839018082.0,6276200677.0,800902491.0,796587642.0,106.0,315998.0,316173.0,112615357915.0,1980654.0,1980814.0,125731307253.0,2248378745.0,36862284510.0,15356190639.0,81435322.0,92768063.0,281387401.0,0.0,0.0,1077.0,14937080827.0,23293510920.0,91.248
4,3,80,0.75,0.62,0,1,2,0,46,1,1,107,0,2,116,45,2,8,262,31,14,47,0,79,198,14,4,8,5,2333.055,24952456.07,1661.4,160863388.91,1555.755,122.78,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11147.0,135438.0,774768173.0,5560888199.0,763755523.0,768705061.0,42.0,304416.0,304496.0,107714961688.0,1965110.0,1965267.0,115167521570.0,2225353624.0,33976249381.0,14452478217.0,75064251.0,85455107.0,276738809.0,467.0,329.0,1065.0,14616652418.0,21596069292.0,75.424
